Reader,case number,Modality (color scale),Confidence score
High3,157,Grayscale,98
High3,158,Grayscale,56
High3,160,Grayscale,100
High3,162,Grayscale,71
High3,164,Grayscale,24
High3,165,Grayscale,16
High3,166,Grayscale,56
High3,168,Grayscale,83
High3,169,Grayscale,68
High3,170,Grayscale,25
High3,172,Grayscale,40
High3,174,Grayscale,54
High3,175,Grayscale,58
High3,176,Grayscale,30
High3,177,Grayscale,9
High3,178,Grayscale,40
High3,179,Grayscale,33
High3,180,Grayscale,28
High3,181,Grayscale,51
High3,182,Grayscale,54
High3,184,Grayscale,28
High3,186,Grayscale,6
High3,187,Grayscale,83
High3,188,Grayscale,19
High3,189,Grayscale,27
High3,190,Grayscale,19
High3,191,Grayscale,31
High3,193,Grayscale,22
High3,194,Grayscale,9
High3,195,Grayscale,58
High3,196,Grayscale,27
High3,197,Grayscale,20
High3,198,Grayscale,26
High3,200,Grayscale,31
High3,201,Grayscale,28
High3,202,Grayscale,58
High3,204,Grayscale,36
High3,206,Grayscale,59
High3,208,Grayscale,28
High3,209,Grayscale,35
High3,210,Grayscale,40
High3,141,Hot,36
High3,142,Hot,30
High3,143,Hot,61
High3,144,Hot,62
High3,145,Hot,20
High3,146,Hot,35
High3,147,Hot,57
High3,148,Hot,32
High3,149,Hot,29
High3,150,Hot,62
High3,151,Hot,54
High3,152,Hot,36
High3,153,Hot,50
High3,154,Hot,36
High3,155,Hot,54
High3,157,Hot,67
High3,158,Hot,28
High3,160,Hot,73
High3,162,Hot,58
High3,164,Hot,2
High3,165,Hot,32
High3,166,Hot,37
High3,168,Hot,59
High3,169,Hot,0
High3,170,Hot,12
High3,172,Hot,33
High3,174,Hot,32
High3,175,Hot,27
High3,176,Hot,30
High3,177,Hot,23
High3,178,Hot,29
High3,179,Hot,34
High3,180,Hot,29
High3,181,Hot,0
High3,182,Hot,29
High3,184,Hot,29
High3,186,Hot,26
High3,187,Hot,42
High3,188,Hot,12
High3,189,Hot,22
High3,190,Hot,36
High3,191,Hot,57
High3,193,Hot,52
High3,194,Hot,29
High3,195,Hot,56
High3,196,Hot,0
High3,197,Hot,40
High3,198,Hot,34
High3,200,Hot,27
High3,201,Hot,34
High3,202,Hot,28
High3,204,Hot,32
High3,206,Hot,63
High3,208,Hot,19
High3,209,Hot,17
High3,210,Hot,36
High3,141,Rainbow,36
High3,142,Rainbow,32
High3,143,Rainbow,34
High3,144,Rainbow,64
High3,145,Rainbow,54
High3,146,Rainbow,53
High3,147,Rainbow,32
High3,148,Rainbow,61
High3,149,Rainbow,58
High3,150,Rainbow,65
High3,151,Rainbow,55
High3,152,Rainbow,55
High3,153,Rainbow,37
High3,154,Rainbow,34
High3,155,Rainbow,32
High3,157,Rainbow,84
High3,158,Rainbow,38
High3,160,Rainbow,56
High3,162,Rainbow,59
High3,164,Rainbow,31
High3,165,Rainbow,53
High3,166,Rainbow,54
High3,168,Rainbow,70
High3,169,Rainbow,59
High3,170,Rainbow,60
High3,172,Rainbow,40
High3,174,Rainbow,31
High3,175,Rainbow,0
High3,176,Rainbow,37
High3,177,Rainbow,37
High3,178,Rainbow,42
High3,179,Rainbow,42
High3,180,Rainbow,32
High3,181,Rainbow,37
High3,182,Rainbow,39
High3,184,Rainbow,60
High3,186,Rainbow,28
High3,187,Rainbow,56
High3,188,Rainbow,38
High3,189,Rainbow,33
High3,190,Rainbow,41
High3,191,Rainbow,24
High3,193,Rainbow,55
High3,194,Rainbow,54
High3,195,Rainbow,60
High3,196,Rainbow,0
High3,197,Rainbow,64
High3,198,Rainbow,27
High3,200,Rainbow,0
High3,201,Rainbow,40
High3,202,Rainbow,27
High3,204,Rainbow,37
High3,206,Rainbow,80
High3,208,Rainbow,39
High3,209,Rainbow,32
High3,210,Rainbow,62
Low4,141,Grayscale,76
Low4,142,Grayscale,10
Low4,143,Grayscale,74
Low4,144,Grayscale,100
Low4,145,Grayscale,76
Low4,146,Grayscale,8
Low4,147,Grayscale,64
Low4,148,Grayscale,88
Low4,149,Grayscale,65
Low4,150,Grayscale,85
Low4,151,Grayscale,99
Low4,152,Grayscale,84
Low4,153,Grayscale,4
Low4,154,Grayscale,65
Low4,155,Grayscale,89
Low4,157,Grayscale,100
Low4,158,Grayscale,100
Low4,160,Grayscale,100
Low4,162,Grayscale,100
Low4,164,Grayscale,75
Low4,165,Grayscale,99
Low4,166,Grayscale,76
Low4,168,Grayscale,100
Low4,169,Grayscale,100
Low4,170,Grayscale,83
Low4,172,Grayscale,75
Low4,174,Grayscale,82
Low4,175,Grayscale,25
Low4,176,Grayscale,64
Low4,177,Grayscale,71
Low4,178,Grayscale,71
Low4,179,Grayscale,65
Low4,180,Grayscale,96
Low4,181,Grayscale,9
Low4,182,Grayscale,90
Low4,184,Grayscale,17
Low4,186,Grayscale,76
Low4,187,Grayscale,65
Low4,188,Grayscale,82
Low4,189,Grayscale,20
Low4,190,Grayscale,72
Low4,191,Grayscale,66
Low4,193,Grayscale,83
Low4,194,Grayscale,28
Low4,195,Grayscale,87
Low4,196,Grayscale,87
Low4,197,Grayscale,4
Low4,198,Grayscale,100
Low4,200,Grayscale,80
Low4,201,Grayscale,72
Low4,202,Grayscale,21
Low4,204,Grayscale,86
Low4,206,Grayscale,95
Low4,208,Grayscale,21
Low4,209,Grayscale,10
Low4,210,Grayscale,10
Low4,141,Hot,37
Low4,142,Hot,18
Low4,143,Hot,87
Low4,144,Hot,100
Low4,145,Hot,77
Low4,146,Hot,77
Low4,147,Hot,22
Low4,148,Hot,100
Low4,149,Hot,72
Low4,150,Hot,92
Low4,151,Hot,95
Low4,152,Hot,77
Low4,153,Hot,25
Low4,154,Hot,78
Low4,155,Hot,76
Low4,157,Hot,100
Low4,158,Hot,0
Low4,160,Hot,89
Low4,162,Hot,100
Low4,164,Hot,13
Low4,165,Hot,88
Low4,166,Hot,92
Low4,168,Hot,99
Low4,169,Hot,74
Low4,170,Hot,10
